verdict,title,lot_string,grade_class,language,product_line,current_total,max_bid_total,max_bid_hammer,headroom,comp,n_sales_90d,last_sold,confidence,fc_comp,fc_n_sales,fc_last_sold,win_likely,floor,active_supply,bids,auction_ends_at,url,reason
WATCH,2000 Pokemon Neo Genesis Holo Typhlosion #17 CGC 10 GEM MINT,WA238 Lot: 10561F1,CGC10_GEM,EN,TCG,276.0,670.53,558.77,394.53,1047.27,0,,0.35,576.0,1,2024-08-12,True,,,28,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/f6635f4a-8c59-11f1-9451-02ffe517bc49/2000-pokemon-neo-genesis-holo-typhlosion-17-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2005 Pokemon EX Deoxys Reverse Holo Altaria #1 CGC 10 GEM MINT,WA238 Lot: 11749F1,CGC10_GEM,EN,TCG,60.0,451.01,375.84,391.01,709.09,0,,0.35,390.0,2,2026-05-04,True,,,5,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/3da89844-8d21-11f1-91c7-0a58a9feac02/2005-pokemon-ex-deoxys-reverse-holo-altaria-1-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,1999 Pokemon Jungle Snorlax #27 CGC 10 GEM MINT,WA239 Lot: 12206,CGC10_GEM,EN,TCG,6.0,373.11,310.93,367.11,589.09,0,,0.35,324.0,3,2026-06-01,True,,,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/d549bfe2-8539-11f1-818c-0682cfa8384b/1999-pokemon-jungle-snorlax-27-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2000 Pokemon Team Rocket 1st Edition Holo Dark Gyarados #8 CGC 10 GEM MINT,WA238 Lot: 10630,CGC10_GEM,EN,TCG,336.0,702.39,585.33,366.39,1096.36,0,,0.35,603.0,4,2026-06-29,True,15000.0,1,10,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/a5cf464e-8aeb-11f1-93bb-0a0ce841ec49/2000-pokemon-team-rocket-1st-edition-holo-dark-gyarados-8-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2003 Pokemon Skyridge Vaporeon #33 CGC 10 PRISTINE,WA239 Lot: 12965F4,CGC10_PRISTINE,EN,TCG,6.0,302.3,251.92,296.3,480.0,0,,0.35,264.0,1,2025-12-29,True,949.88,1,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/f12cbf84-920e-11f1-b7c0-0a2551596ddf/2003-pokemon-skyridge-vaporeon-33-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,1999 Pokemon Jungle 1st Edition Holo Nidoqueen #7 CGC 10 GEM MINT,WA238 Lot: 10184,CGC10_GEM,EN,TCG,222.0,500.57,417.14,278.57,785.45,0,,0.35,432.0,5,2026-04-06,True,,,9,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/94b7ff14-85ea-11f1-bfa0-02ba9858bad3/1999-pokemon-jungle-1st-edition-holo-nidoqueen-7-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2001 Pokemon Japanese Expedition 1st Edition Cubone #23 CGC 10 PRISTINE,WA239 Lot: 12567,CGC10_PRISTINE,JA,TCG,7.2,285.31,237.75,278.11,453.82,0,,0.35,249.6,2,2026-05-11,True,,,2,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/9b44f3cc-9059-11f1-b62c-0a58a9feac02/2001-pokemon-japanese-expedition-1st-edition-cubone-23-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,2001 Pokemon Japanese Expedition 1st Edition Cubone #23 CGC 10 PRISTINE,WA239 Lot: 12568,CGC10_PRISTINE,JA,TCG,7.2,285.31,237.75,278.11,453.82,0,,0.35,249.6,2,2026-05-11,True,,,2,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/9b4ade22-9059-11f1-af83-02fffd4499b5/2001-pokemon-japanese-expedition-1st-edition-cubone-23-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,2005 Pokemon EX Unseen Forces Reverse Holo Ursaring #18 CGC 10 GEM MINT,WA238 Lot: 11826,CGC10_GEM,EN,TCG,16.8,288.14,240.11,271.34,458.18,0,,0.35,252.0,1,2026-07-06,True,,,4,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/66b41b8e-86ad-11f1-8c49-02ba9858bad3/2005-pokemon-ex-unseen-forces-reverse-holo-ursaring-18-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,1996 Pokemon Japanese Base Set Squirtle #7 CGC 10 PRISTINE,WA239 Lot: 11565,CGC10_PRISTINE,JA,TCG,6.0,273.97,228.31,267.97,436.36,0,,0.35,240.0,3,2026-05-04,True,1000.0,1,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/2129c640-89c8-11f1-b730-0a58a9feac02/1996-pokemon-japanese-base-set-squirtle-7-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,2003 Pokemon Skyridge Flareon #8 CGC 10 PRISTINE,WA239 Lot: 12962F2,CGC10_PRISTINE,EN,TCG,6.0,259.81,216.51,253.81,414.55,0,,0.35,228.0,1,2025-12-29,True,,,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/f135c200-920e-11f1-9bc8-0a58a9feac02/2003-pokemon-skyridge-flareon-8-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,2004 Pokemon Ex Fire Red & Leaf Green Reverse Holo Ivysaur #35 CGC 10 GEM MINT,WA238 Lot: 11453,CGC10_GEM,EN,TCG,43.2,275.39,229.49,232.19,438.55,0,,0.35,241.2,2,2026-04-27,True,107.91,1,4,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/27da4bf6-89bc-11f1-a3b9-0a58a9feac02/2004-pokemon-ex-fire-red-leaf-green-reverse-holo-ivysaur-35-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2002 Pokemon Legendary Collection Reverse Holo Pokemon Breeder #102 CGC 10 GEM MINT,WA239 Lot: 12830,CGC10_GEM,EN,TCG,6.0,231.49,192.91,225.49,370.91,0,,0.35,204.0,3,2026-05-25,True,,,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/419c26dc-9032-11f1-a379-0a58a9feac02/2002-pokemon-legendary-collection-reverse-holo-pokemon-breeder-102-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2004 Pokemon EX Hidden Legends Holo Groudon #102 CGC 10 GEM MINT,WA238 Lot: 11488,CGC10_GEM,EN,TCG,138.0,249.2,207.67,111.2,384.0,4,2026-07-28,0.67,165.0,34,2026-07-13,True,385.0,4,12,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/4da0c7aa-86a3-11f1-841f-0a58a9feac02/2004-pokemon-ex-hidden-legends-holo-groudon-102-cgc-10-gem-mint,"4 sales/90d — slow mover, bid only well under max"
WATCH,2000 Pokemon Japanese Neo Holo Pichu #172 CGC 10 GEM MINT,WA239 Lot: 12397,CGC10_GEM,JA,TCG,6.0,203.16,169.3,197.16,327.27,0,,0.35,180.0,4,2026-08-03,True,,,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/4bfe9b98-89c8-11f1-a744-0a58a9feac02/2000-pokemon-japanese-neo-holo-pichu-172-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2000 Pokemon Japanese Neo 3 Holo Ampharos #181 CGC 10 GEM MINT,WA239 Lot: 12314,CGC10_GEM,JA,TCG,0.0,191.36,159.46,191.36,309.09,0,,0.35,170.0,3,2026-05-04,True,,,0,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/8c3ba444-89c8-11f1-ac22-0a58a9feac02/2000-pokemon-japanese-neo-3-holo-ampharos-181-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2003 Pokemon Skyridge Moltres #21 CGC 10 PRISTINE,WA239 Lot: 12963F4,CGC10_PRISTINE,EN,TCG,0.0,181.92,151.6,181.92,294.55,0,,0.35,162.0,1,2025-06-09,True,,,0,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/eff53c36-920e-11f1-b363-0acc9395be39/2003-pokemon-skyridge-moltres-21-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,2005 Pokemon EX Unseen Forces Reverse Holo Onix #65 CGC 10 GEM MINT,WA239 Lot: 13104,CGC10_GEM,EN,TCG,6.0,181.21,151.0,175.21,293.45,0,,0.35,161.4,2,2026-05-04,True,4512.5,1,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/2819f39c-8fbf-11f1-8499-06d3f5575867/2005-pokemon-ex-unseen-forces-reverse-holo-onix-65-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
